genus|total_label|passport_label|label|group|group_order|signature|g0|r|dim|con|cc|braid|topological|jacobian_decomp|genvec|connected_genvec|trans_group|min_deg|hyperelliptic|hyp_involution|eqn|cyclic_trigonal|cinv|full_label|full_auto|signH
smallint|text|text|text|text|integer|integer[]|smallint|smallint|smallint|text[]|integer[]|integer[]|integer[]|jsonb|numeric[]|text[]|text|integer|boolean|numeric|text[]|boolean|numeric|text|text|integer[]

2|2.12-4.0.2-2-2-3.1.1|2.12-4.0.2-2-2-3.1|2.12-4.0.2-2-2-3|12.4|12|{0, 2, 2, 2, 3}|0|4|1|{ "2A", "2C", "2B", "3A" }|{1, 1}|{1, 1}|{1, 1}|[ [ 1, 2, 6 ] ]|{ 450, 415, 566, 304 }|{ "b^3", "a", "ba", "b^2" }|6T3|6|True|450|{ "y^2=x^{6}+a_1x^{3}+1" }|False|NULL|NULL|NULL|NULL
2|2.24-8.0.2-4-6.1.1|2.24-8.0.2-4-6.1|2.24-8.0.2-4-6|24.8|24|{0, 2, 4, 6}|0|3|0|{ "2C", "4A", "6B1" }|{1, 1}|{1, 1}|{1, 1}|[ [ 1, 2, 8 ] ]|{ 435046886, 368704995, 289374683 }|{ "c^4ba", "c^3a", "cb" }|12T13|12|True|263727360|{ "y^2=x^{6}-1" }|False|NULL|NULL|NULL|NULL
2|2.24-8.0.2-4-6.2.1|2.24-8.0.2-4-6.2|2.24-8.0.2-4-6|24.8|24|{0, 2, 4, 6}|0|3|0|{ "2C", "4A", "6B-1" }|{2, 1}|{2, 1}|{1, 1}|[ [ 1, 2, 8 ] ]|{ 435046886, 145713396, 66341893 }|{ "c^4ba", "c^3ba", "c" }|12T13|12|True|263727360|{ "y^2=x^{6}-1" }|False|NULL|NULL|NULL|NULL
2|2.48-29.0.2-3-8.1.1|2.48-29.0.2-3-8.1|2.48-29.0.2-3-8|48.29|48|{0, 2, 3, 8}|0|3|0|{ "2B", "3A", "8A1" }|{1, 1}|{1, 1}|{1, 1}|[ [ 1, 2, 4 ] ]|{ 5558, 4838, 5913 }|{ "c^-1ba", "b^2", "c^-1a" }|8T23|8|True|23616|{ "y^2=x(x^4-1)" }|False|NULL|NULL|NULL|NULL
2|2.48-29.0.2-3-8.2.1|2.48-29.0.2-3-8.2|2.48-29.0.2-3-8|48.29|48|{0, 2, 3, 8}|0|3|0|{ "2B", "3A", "8A-1" }|{2, 1}|{2, 1}|{1, 1}|[ [ 1, 2, 4 ] ]|{ 5558, 3927, 9838 }|{ "c^-1ba", "b", "c^-1b^2a" }|8T23|8|True|23616|{ "y^2=x(x^4-1)" }|False|NULL|NULL|NULL|NULL
2|2.4-1.0.2-2-4-4.1.1|2.4-1.0.2-2-4-4.1|2.4-1.0.2-2-4-4|4.1|4|{0, 2, 2, 4, 4}|0|4|1|{ "2A", "2A", "4A1", "4A-1" }|{1, 1}|{1, 1}|{1, 1}|[ [ 2, 1, 2 ] ]|{ 16, 16, 9, 18 }|{ "a^-2", "a^-2", "a", "a^-1" }|4T1|4|NULL|NULL|NULL|NULL|NULL|2.8-3.0.2-2-2-4|8.3|{0, 2, 2, 2, 4}
2|2.5-1.0.5-5-5.1.1|2.5-1.0.5-5-5.1|2.5-1.0.5-5-5|5.1|5|{0, 5, 5, 5}|0|3|0|{ "5A-1", "5A-1", "5A2" }|{1, 1}|{1, 1}|{1, 1}|[ [ 2, 1, 2 ] ]|{ 33, 33, 90 }|{ "a", "a", "a^3" }|5T1|5|NULL|NULL|NULL|NULL|NULL|2.10-2.0.2-5-10|10.2|{0, 2, 5, 10}
2|2.5-1.0.5-5-5.2.1|2.5-1.0.5-5-5.2|2.5-1.0.5-5-5|5.1|5|{0, 5, 5, 5}|0|3|0|{ "5A-1", "5A-2", "5A-2" }|{2, 1}|{2, 1}|{1, 1}|[ [ 2, 1, 2 ] ]|{ 33, 64, 64 }|{ "a", "a^2", "a^2" }|5T1|5|NULL|NULL|NULL|NULL|NULL|2.10-2.0.2-5-10|10.2|{0, 2, 5, 10}
2|2.5-1.0.5-5-5.3.1|2.5-1.0.5-5-5.3|2.5-1.0.5-5-5|5.1|5|{0, 5, 5, 5}|0|3|0|{ "5A2", "5A2", "5A1" }|{3, 1}|{3, 1}|{1, 1}|[ [ 2, 1, 2 ] ]|{ 90, 90, 96 }|{ "a^3", "a^3", "a^4" }|5T1|5|NULL|NULL|NULL|NULL|NULL|2.10-2.0.2-5-10|10.2|{0, 2, 5, 10}
2|2.5-1.0.5-5-5.4.1|2.5-1.0.5-5-5.4|2.5-1.0.5-5-5|5.1|5|{0, 5, 5, 5}|0|3|0|{ "5A-2", "5A1", "5A1" }|{4, 1}|{4, 1}|{1, 1}|[ [ 2, 1, 2 ] ]|{ 64, 96, 96 }|{ "a^2", "a^4", "a^4" }|5T1|5|NULL|NULL|NULL|NULL|NULL|2.10-2.0.2-5-10|10.2|{0, 2, 5, 10}
2|2.6-2.0.3-6-6.1.1|2.6-2.0.3-6-6.1|2.6-2.0.3-6-6|6.2|6|{0, 3, 6, 6}|0|3|0|{ "3A1", "6A-1", "6A-1" }|{1, 1}|{1, 1}|{1, 1}|[ [ 1, 1, 3 ], [ 1, 1, 4 ] ]|{ 304, 600, 600 }|{ "a^4", "a", "a" }|6T1|6|NULL|NULL|NULL|NULL|NULL|2.24-8.0.2-4-6|24.8|{0, 2, 4, 6}
2|2.6-2.0.3-6-6.2.1|2.6-2.0.3-6-6.2|2.6-2.0.3-6-6|6.2|6|{0, 3, 6, 6}|0|3|0|{ "3A-1", "6A1", "6A1" }|{2, 1}|{2, 1}|{1, 1}|[ [ 1, 1, 3 ], [ 1, 1, 4 ] ]|{ 576, 153, 153 }|{ "a^2", "a^5", "a^5" }|6T1|6|NULL|NULL|NULL|NULL|NULL|2.24-8.0.2-4-6|24.8|{0, 2, 4, 6}
2|2.6-1.0.2-2-3-3.1.1|2.6-1.0.2-2-3-3.1|2.6-1.0.2-2-3-3|6.1|6|{0, 2, 2, 3, 3}|0|4|1|{ "2A", "2A", "3A", "3A" }|{1, 1}|{1, 1}|{1, 1}|[ [ 1, 2, 3 ] ]|{ 2, 1, 4, 4 }|{ "ba", "a", "b^2", "b^2" }|3T2|3|NULL|NULL|NULL|NULL|NULL|2.12-4.0.2-2-2-3|12.4|{0, 2, 2, 2, 3}
2|2.6-1.0.2-2-3-3.1.2|2.6-1.0.2-2-3-3.1|2.6-1.0.2-2-3-3|6.1|6|{0, 2, 2, 3, 3}|0|4|1|{ "2A", "2A", "3A", "3A" }|{1, 2}|{1, 1}|{1, 1}|[ [ 1, 2, 3 ] ]|{ 2, 2, 3, 4 }|{ "ba", "ba", "b", "b^2" }|3T2|3|NULL|NULL|NULL|NULL|NULL|2.12-4.0.2-2-2-3|12.4|{0, 2, 2, 2, 3}
2|2.6-2.0.2-2-3-3.1.1|2.6-2.0.2-2-3-3.1|2.6-2.0.2-2-3-3|6.2|6|{0, 2, 2, 3, 3}|0|4|1|{ "2A", "2A", "3A1", "3A-1" }|{1, 1}|{1, 1}|{1, 1}|[ [ 2, 1, 4 ] ]|{ 450, 450, 304, 576 }|{ "a^3", "a^3", "a^4", "a^2" }|6T1|6|NULL|NULL|NULL|NULL|NULL|2.12-4.0.2-2-2-3|12.4|{0, 2, 2, 2, 3}
2|2.8-4.0.4-4-4.1.1|2.8-4.0.4-4-4.1|2.8-4.0.4-4-4|8.4|8|{0, 4, 4, 4}|0|3|0|{ "4A", "4B", "4C" }|{1, 1}|{1, 1}|{1, 1}|[ [ 2, 1, 5 ] ]|{ 6425, 34348, 19255 }|{ "b", "a", "ba" }|8T5|8|NULL|NULL|NULL|NULL|NULL|2.48-29.0.2-3-8|48.29|{0, 2, 3, 8}
2|2.8-1.0.2-8-8.1.1|2.8-1.0.2-8-8.1|2.8-1.0.2-8-8|8.1|8|{0, 2, 8, 8}|0|3|0|{ "2A", "8A-1", "8A-3" }|{1, 1}|{1, 1}|{1, 1}|[ [ 2, 1, 2 ] ]|{ 23616, 29400, 35280 }|{ "a^-4", "a^-3", "a^-1" }|8T1|8|NULL|NULL|NULL|NULL|NULL|2.48-29.0.2-3-8|48.29|{0, 2, 3, 8}
