total_label|passport_label|con|con_label|connected_genvec
text|text|text|text|jsonb

4.18-4.0.2.2.3.3.1.2|4.18-4.0.2.2.3.3.1|[ 2, 2, 5, 6 ]|[ 2A, 2A, 3A, 3D ]|[ a, c^2a, c^2b^2, c^2b ]
4.18-4.0.2.2.3.3.2.1|4.18-4.0.2.2.3.3.2|[ 2, 2, 3, 5 ]|[ 2A, 2A, 3B, 3A ]|[ a, b^2a, c^2, cb ]
4.18-4.0.2.2.3.3.2.2|4.18-4.0.2.2.3.3.2|[ 2, 2, 3, 5 ]|[ 2A, 2A, 3B, 3A ]|[ a, cb^2a, c, cb ]
4.18-4.0.2.2.3.3.3.1|4.18-4.0.2.2.3.3.3|[ 2, 2, 3, 4 ]|[ 2A, 2A, 3B, 3C ]|[ a, cb^2a, c^2, b ]
4.18-4.0.2.2.3.3.3.2|4.18-4.0.2.2.3.3.3|[ 2, 2, 3, 4 ]|[ 2A, 2A, 3B, 3C ]|[ a, c^2b^2a, c, b ]
4.18-4.0.2.2.3.3.4.1|4.18-4.0.2.2.3.3.4|[ 2, 2, 3, 6 ]|[ 2A, 2A, 3B, 3D ]|[ a, b^2a, c, c^2b ]
4.18-4.0.2.2.3.3.4.2|4.18-4.0.2.2.3.3.4|[ 2, 2, 3, 6 ]|[ 2A, 2A, 3B, 3D ]|[ a, c^2b^2a, c^2, c^2b ]
4.18-4.0.2.2.3.3.5.1|4.18-4.0.2.2.3.3.5|[ 2, 2, 4, 5 ]|[ 2A, 2A, 3C, 3A ]|[ a, cb^2a, b^2, c^2b^2 ]
4.18-4.0.2.2.3.3.5.2|4.18-4.0.2.2.3.3.5|[ 2, 2, 4, 5 ]|[ 2A, 2A, 3C, 3A ]|[ a, c^2a, b^2, cb ]
4.18-4.0.2.2.3.3.6.1|4.18-4.0.2.2.3.3.6|[ 2, 2, 4, 6 ]|[ 2A, 2A, 3C, 3D ]|[ a, c^2a, b, cb^2 ]
